ztf_id,if_score,if_outlier
ZTF19aayvylv,0.10154784879563988,1
ZTF19aazfvhh,0.08324390334137066,1
ZTF19aaywlmi,0.1325756779376856,1
ZTF19aazuqyt,0.08442159743526301,1
ZTF19aazlsfj,0.13561404457029858,1
ZTF19aazwnwy,0.12476391443952511,1
ZTF19aayjqpa,0.11315489324003603,1
ZTF19aazyvub,0.08969561379387059,1
ZTF19aazxcvl,0.13378745919423074,1
ZTF19aazzpje,0.1261166090478007,1
ZTF19aazudta,0.07538929978022157,1
ZTF19abadskf,0.10739193711621253,1
ZTF19abahvdh,0.13770337693730872,1
ZTF19ababigc,0.11340448672136638,1
ZTF19abattvp,0.11596616721215025,1
ZTF19abaejto,0.12404457687492099,1
ZTF19abaeyln,0.14367625474232687,1
ZTF19abacxod,0.1115484937763917,1
ZTF19abajuqh,0.13026721976726002,1
ZTF19abajxet,-0.032523625579911286,-1
ZTF19abafmwj,0.07977199880855101,1
ZTF19abamqxo,0.10559145766922173,1
ZTF19abaosan,0.07169450601331084,1
ZTF19abasxkg,0.10737166249734698,1
ZTF19abauylg,0.06066058654687623,1
ZTF19abakjao,0.11893475463578607,1
ZTF19abbnamr,-0.05216092661796867,-1
ZTF19abbxykm,0.12000284693118057,1
ZTF19abcegvm,0.12705111095938915,1
ZTF19abbwfgp,0.08115528415930556,1
ZTF19abcejsg,0.08688880299647667,1
ZTF19abcejoa,0.13023538251308658,1
ZTF19abauzma,0.09198956177421458,1
ZTF19abbvzgr,0.11634881595428698,1
ZTF19abcneik,0.1231665566889995,1
ZTF18abdcudb,0.12214537313478002,1
ZTF19abctnpk,0.13817484879917413,1
ZTF19abdqaao,0.12349277888295401,1
ZTF19abegizf,0.07478057474737132,1
ZTF19abctxhf,0.10240933526042517,1
ZTF19abcfzdy,0.12775279819474816,1
ZTF19abdkdir,0.12181016832577662,1
ZTF19abdkgwo,0.05122964066016761,1
ZTF19abdkgns,0.14583264519959022,1
ZTF19abdyawn,0.12333896870690542,1
ZTF19abdzehg,0.014706814617574338,1
ZTF19abcttsc,0.07361967713124534,1
ZTF19abdviwl,0.1258185467412028,1
ZTF19abdoznh,0.11880610134178404,1
ZTF19abkfqqp,0.06127968015338631,1
