ztf_id,ae_mse
ZTF19abudlps,0.34553722
ZTF19abtsrup,0.22546981
ZTF19abueupg,0.2435413
ZTF19abukakm,0.23140578
ZTF19abuclhk,0.2616141
ZTF19abirmkt,1.4006093
ZTF19abrcvzz,0.19181195
ZTF19abwsecm,0.27887484
ZTF19abuxhqc,0.07800314
ZTF19abuhlxk,0.3345652
ZTF19abucvgu,0.26834008
ZTF19abujhgm,0.32826754
ZTF19abvanim,0.33889428
ZTF19abvalfd,0.2863283
ZTF19abvdbyx,0.6655245
ZTF19abvdgqo,0.21787514
ZTF19abuayqg,0.0992602
ZTF19abvhkst,0.26995733
ZTF19abvgnxg,0.08005851
ZTF19abvgwvp,0.14338766
ZTF19abvhduf,0.3237681
ZTF19abuzinv,1.3361119
ZTF19abupned,0.21192642
ZTF19abulzhy,0.21234792
ZTF19aburnqh,0.29018298
ZTF19abwztsb,1.4671177
ZTF19abulzlj,0.19422804
ZTF19abwaohs,0.19979334
ZTF19abwnpus,0.17733751
ZTF19abwouqp,0.113816045
ZTF19abwswzb,0.12643579
ZTF19abxekxi,0.2138824
ZTF19abxfunp,0.10286419
ZTF19abxgmzr,0.1561682
ZTF19abwsdic,0.3263482
ZTF19abxjrge,0.1809484
ZTF19abuzpmr,0.21723251
ZTF19abxnycf,0.24698552
ZTF19abwsagv,0.18885626
ZTF19abvjcii,1.1470923
ZTF19abxfhrq,0.16237189
ZTF19abxtdgh,0.3125521
ZTF19abwsxug,0.17382242
ZTF19abxtcio,0.2336522
ZTF19abxvles,0.1709986
ZTF19abxvtmn,0.19424886
ZTF19abxdnzt,0.31145036
ZTF19abxdnhr,0.20705277
ZTF19abycslo,0.22576189
ZTF19abyhxzp,0.25351965
ZTF19abyikbv,0.47818172
ZTF19abyjhpz,0.34332126
ZTF19abyjjxp,0.08951057
ZTF19abxjimu,0.639773
ZTF19adannbl,0.1570705
ZTF19abwamby,0.39403656
ZTF19abyuzch,0.7697166
ZTF19abymvpq,0.26944563
ZTF19abyzuos,0.17183138
ZTF19abzfmak,0.29316399
ZTF19abzwaen,0.12431309
ZTF19abzhvxk,0.060552422
ZTF19abzkiuv,0.1286822
ZTF19abzlmwn,0.115594245
ZTF19abzlsbl,0.20682684
ZTF19abzqkdz,0.2645604
ZTF19abzrdup,0.2583681
ZTF19abyflzw,0.4604233
ZTF19abzsitm,0.2042685
ZTF19abzvvkb,0.07042207
ZTF19abzplvm,0.12870353
ZTF19abztknu,0.3206114
ZTF19abzzgec,0.20773023
ZTF19abzzhgx,0.15384595
ZTF19abzulhk,0.1232564
ZTF19acaiylt,0.20632733
ZTF19acanzwg,0.24229154
ZTF19abzzuyl,0.27889425
ZTF19acardcs,0.5179937
ZTF19acaotrk,0.20232153
ZTF19acbhvgi,0.38275102
ZTF19acapeun,0.21804284
ZTF19acbiwjk,0.11972547
ZTF19acazaug,0.21055464
ZTF19acbjlnt,0.24779715
ZTF19acaxcwg,0.19213195
ZTF19acbpzir,0.26705
ZTF19acbkczc,0.107479386
ZTF19acbpwwg,0.35878414
ZTF19acbacvu,0.20385423
ZTF19acbvisk,0.21795104
ZTF19acbswdq,0.11472814
ZTF19acchjle,0.23075324
ZTF19acbmddl,0.18677694
ZTF19acbmjrp,0.07187781
ZTF19acbmojx,0.0970231
ZTF19acbmqpu,0.117231086
ZTF19acbonaa,0.24349837
ZTF19acbmxky,0.26302636
ZTF19acbpqvc,0.25482678
ZTF19acbrzzr,0.23256014
ZTF19acazbqm,0.25556764
ZTF19acbunmk,0.15043205
ZTF19acbwouf,0.36601838
ZTF19acbqzvu,0.1575649
ZTF19acbykmk,0.14231335
ZTF19acckggd,0.29473686
ZTF19acbnhkd,0.09840734
ZTF19acbzgog,0.8771519
ZTF19acchaza,0.5936914
ZTF19accbeju,0.2591277
ZTF19acchink,0.26783597
ZTF19acchtyp,0.20945317
ZTF19accjnpz,0.12371072
ZTF19accmboe,0.340093
ZTF19accmxtw,0.22469278
ZTF19acctwpz,0.2444057
ZTF19accuyyg,0.41666603
ZTF19acdsqir,0.4248189
ZTF18accjdgs,0.26509306
ZTF19acdtpow,0.20636255
ZTF19aceckht,0.72673887
ZTF19accobqx,0.25063717
ZTF19acdabep,0.52861
ZTF19acgemzm,0.22820252
ZTF19aceshib,0.110798195
ZTF19acetxvq,0.15288551
ZTF19acewotx,0.1819312
ZTF19acexijn,0.1793665
ZTF19acfejbj,0.25819194
ZTF19acgonwy,0.16530494
ZTF19acdxlns,0.16322826
ZTF19aceuacu,0.1929447
ZTF19acftfav,0.18741322
ZTF19acfthre,0.3536423
ZTF19acewuwn,0.32321355
ZTF19acgaxej,0.14743303
ZTF19acfmwlh,0.18192558
ZTF19acgcxop,0.3364866
ZTF19acgfhfd,0.41052416
ZTF19acftude,0.20342612
ZTF19acgbzam,0.24954796
ZTF19acgjnfz,0.27382827
ZTF19acgjojy,0.34198123
ZTF19acgjosf,0.33851534
ZTF19acgjpgh,0.29408056
ZTF19acfsqjx,0.2852442
ZTF19acgbkzr,0.24541955
ZTF19acfwynw,0.39896843
ZTF19acgmkrt,0.05512094
ZTF19achagst,0.19845273
ZTF19acmbhvv,0.5451149
ZTF19achajnc,0.49513662
ZTF19acgqjln,0.25461695
ZTF19acgrbeb,0.36314154
ZTF19acgpqxt,0.17357963
ZTF19achtewn,0.47277564
ZTF19ackzvdp,0.19169511
ZTF19acignlo,0.716466
ZTF19acihgng,0.16936177
ZTF19ackjjwf,0.29989016
ZTF19acitkzs,0.50071186
ZTF19acjuomg,0.06592551
ZTF19acifuyf,0.26038033
ZTF19achejoc,0.16148838
ZTF19acjtkha,0.21101122
ZTF19acjwdnu,0.23400435
ZTF19acjjwsy,0.24328552
ZTF19acngsnb,0.6499179
ZTF19aclljyq,0.16783465
ZTF19aclobbu,0.85753196
ZTF19aclofmz,0.16531724
ZTF19aclthzj,0.11651557
ZTF19acmbiad,0.55808234
ZTF19acjwqvo,0.19474281
ZTF19aclyezb,0.32070076
ZTF19acmwkul,0.46425316
ZTF19acnfjyw,0.18627724
ZTF19acnzkph,0.51118255
ZTF19acnjwgm,0.38675794
ZTF19acoaiub,0.2348854
ZTF19acpmuwu,0.22616172
ZTF19acnkeji,0.20247222
ZTF19acojuzv,0.24049307
ZTF19acojxzo,1.0078368
ZTF19acordoi,0.3152834
ZTF19acpgaet,0.4344746
ZTF19acoaoty,0.31200463
ZTF19ackjrru,0.2841004
ZTF19acqprad,0.17228277
ZTF19acqypso,0.5090551
ZTF19acrdqej,0.6461825
ZTF19acmgyka,0.23547171
ZTF19acwbhih,0.1632945
ZTF19acqxoll,0.3911022
ZTF19acrbyzj,0.35474035
ZTF19acrcxri,0.21078824
ZTF19acbwejj,0.666977
ZTF19acruqph,0.25186184
ZTF19acrwvao,0.4205119
ZTF19acryurj,0.16819113
ZTF22abaucrh,0.70579726
ZTF19acszmgx,0.24360432
ZTF19actldas,0.14777236
ZTF19actnwtn,1.7556252
ZTF19actnyae,0.2767041
ZTF19acvrigb,1.5902134
ZTF19acukucu,0.21361804
ZTF19acuybzx,0.21630907
ZTF19acvgjme,0.22773305
ZTF19acvmcdd,0.3056607
ZTF19acxovyh,0.450408
ZTF19acwrrvg,0.20096068
ZTF19actfxcd,0.2352635
ZTF19acvrjzd,0.41543487
ZTF19abtcapa,0.21894489
ZTF19acwrqtv,0.68546146
ZTF19acvwllm,0.31925064
ZTF19acwrujg,0.2191204
ZTF19acxnemy,1.0160928
ZTF19acxphhl,0.9593287
ZTF19acxxwrs,0.5387187
ZTF19acxndsk,0.16681129
ZTF19acyjviz,0.28556684
ZTF19acxowrr,0.17041102
