ztf_id,n_total,n_g,n_r,span,max_gap,median_gap,mag_range,frac_imputed
ZTF19acgpqxt,18,7,11,34.87461800035089,5.9196991003118455,2.8731482001021504,1.4637789999999988,0.0
ZTF19achtewn,15,6,9,22.978958300314844,4.954155100043863,1.48192705004476,0.8139000000000003,0.0
ZTF19acgogcm,8,5,3,29.796643500216305,13.845590299926698,2.9501620000228286,1.7126680000000007,0.0
ZTF19achvpik,9,4,5,27.89528930000961,8.061608799733222,2.978923600167036,0.5932080000000006,0.0
ZTF19achetvw,11,5,6,13.086284799966961,3.964548600371927,0.9259549002163112,1.198439999999998,0.0
ZTF19ackbjtf,10,4,6,26.882395799737424,6.924953700043261,3.945937499869615,1.561903000000001,0.0
ZTF19ackzvdp,20,8,12,103.83498839987442,26.01281249988824,3.0215162001550198,1.2252139999999976,0.0
ZTF19acgjohb,10,4,6,26.911145799793303,11.977662099990994,2.9860763996839523,0.638142000000002,0.0
ZTF19ackjnuq,14,3,11,66.92486110003665,25.907812499906868,2.9978355998173356,2.418285000000001,0.0
ZTF19aceqxtg,12,3,9,59.98521990003064,17.906655099708587,3.9879629998467863,1.982951,0.0
ZTF19acigkma,12,7,5,21.986180600244552,3.958784700371325,2.9677313999272883,1.007010000000001,0.0
ZTF19acignlo,149,57,92,270.2987500000745,124.34657409973443,0.05141209997236729,3.0368749999999984,0.0
ZTF18aanhpii,13,6,7,1010.0749421003275,993.0835301000625,1.9453356501180679,0.7104169999999996,0.0
ZTF19acihgng,39,18,21,32.992465200368315,6.017037100158632,0.9534491503145546,2.0006470000000007,0.0
ZTF19acihlft,9,5,4,47.92657410027459,18.01821759995073,3.4854513998143375,3.782966,0.0
ZTF19ackjjwf,35,11,24,95.76232639979571,14.894652800168842,2.917442100122571,2.9396570000000004,0.0
ZTF19acitnck,10,5,5,29.038240700028837,8.03203700017184,3.0149420998059213,1.5487350000000006,0.0
ZTF19acitkzs,20,8,12,98.46278929989785,47.47956020012498,0.954629700165242,2.5796300000000016,0.0
ZTF19acjuomg,28,15,13,26.954895799979568,6.96306709991768,0.965451399795711,1.0284319999999987,0.0
ZTF19acjfhom,12,4,8,50.93546300008893,22.19290510006249,2.8494907999411225,1.4908010000000012,0.0
ZTF19acifuyf,20,7,13,48.829976900015026,8.816770900040865,1.7932175998575985,1.979568999999998,0.0
ZTF19ackbclh,9,4,5,19.89170140028,4.911597299855202,2.9683737999293953,1.3144610000000014,0.0
ZTF19acjdwqv,13,3,10,29.831365700345486,6.916562499944121,1.9718460501171649,1.039476999999998,0.0
ZTF19achejoc,22,8,14,39.915150499902666,5.912222200073302,1.9453936000354588,1.9820449999999994,0.0
ZTF19acjdufa,14,7,7,29.943263900000602,9.199224600102752,1.7972801001742482,1.1348009999999995,0.0
ZTF19aclhohd,11,3,8,37.9213773002848,14.889814800117165,2.9796469998545945,0.8850339999999974,0.0
ZTF19acjtkha,15,7,8,27.023703700397164,7.991747699677944,1.5005093000363559,1.8323440000000026,0.0
ZTF19acllsbq,14,5,9,77.87567130010575,18.900694500189275,3.0245717000216246,1.8486220000000024,0.0
ZTF19acjwdnu,19,9,10,77.87567129964009,21.023171300068498,2.978217599913478,1.400821999999998,0.0
ZTF19acjjwsy,16,5,11,29.97667820006609,5.903703700285405,2.063599499873817,1.1792659999999984,0.0
ZTF19ackjene,9,3,6,47.990405100397766,20.926157400012016,4.536307850154117,1.9042949999999976,0.0
ZTF19ackjlrd,9,4,5,50.99857640033588,23.951701400335878,3.531961800297722,1.435054000000001,0.0
ZTF19ackjmge,11,4,7,60.9398726997897,22.907638899981976,4.006232650252059,2.2965359999999997,0.0
ZTF19aclkbqc,11,7,4,24.009687499608845,8.003055599983782,2.953975649783388,1.3581749999999992,0.0
ZTF19acngsnb,19,8,11,24.034618000034243,7.89002319984138,0.06328124995343387,1.0940140000000014,0.0
ZTF19aclljyq,17,7,10,42.9090624996461,11.955034699756652,2.4348379001021385,1.4375350000000005,0.0
ZTF19aclobbu,149,71,78,272.17723379982635,140.28216439997777,0.06289930013008416,3.239163999999999,0.0
